# Data from Commane Group at Columbia University/Lamont-Doherty Earth Observatory (atmoscomp.ldeo.columbia.edu)
# This is 1-hour merged data taken at LDEO from 2023-07-01 to 2023-07-31 (see ReadMe for more details)
# File: LDEO_1h_merge_20230701_to_20230731_v20240628.txt
# Data processed on 2024/06/28
# If you are using this data for a publication or for more information, please contact Roisin Commane (r.commane@columbia.edu)
#                  
UTC_time,CH4_ppb,CH4_sd,CO2_ppm,CO2_sd,H2O_ppth,n,ch4.co2.Slope,ch4.co2.Slope.95.Uncertainty,ch4.co2.Intercept,ch4.co2.Intercept.95.Uncertainty,ch4.co2.r2
2023-07-01 21:00:00,2009.17,5.1,408.4,1.04,16.56,3029,3.964,0.3004,390.27,122.66,0.653
2023-07-01 22:00:00,2008.8,3.75,408.68,0.91,15.77,3037,1.2652,0.4081,1491.74,166.77,0.094
2023-07-01 23:00:00,2023.58,5.08,411.97,1.59,16.56,3015,2.9855,0.1185,793.65,48.8,0.873
2023-07-02 00:00:00,2031.48,1.69,414.48,0.76,17.1,3017,0.5827,0.224,1789.95,92.86,0.068
2023-07-02 01:00:00,2022.58,6.62,415.43,2.29,16.55,3040,2.6673,0.1148,914.52,47.7,0.853
2023-07-02 02:00:00,2024.54,11.99,420.96,1.96,17.22,3030,5.2849,0.3229,-200.19,135.94,0.743
2023-07-02 03:00:00,2012.85,2.44,419.92,1.09,17.14,3010,0.8303,0.216,1664.2,90.68,0.138
2023-07-02 04:00:00,2026.92,5.31,422.97,1.48,18.89,3025,2.6907,0.2468,888.85,104.38,0.562
2023-07-02 05:00:00,2037.78,4.08,425.51,1.57,20.23,3030,1.2488,0.2365,1506.43,100.64,0.231
2023-07-02 06:00:00,2053.28,4.08,427.5,2.44,20,3008,0.6664,0.1592,1768.41,68.06,0.159
2023-07-02 07:00:00,2045.48,3.99,424.45,1.42,21.05,3024,1.9299,0.213,1226.31,90.39,0.47
2023-07-02 08:00:00,2039.3,5.58,423.25,1.72,21.01,3035,2.5495,0.2072,960.23,87.72,0.62
2023-07-02 09:00:00,2011.07,8.67,418.82,1.79,21.01,3021,4.2559,0.238,228.59,99.7,0.775
2023-07-02 10:00:00,2001.29,5.66,416.55,1.18,21.78,3021,3.9695,0.2775,347.8,115.6,0.689
2023-07-02 11:00:00,1988.73,4.43,414.85,1.12,21.99,2651,3.1952,0.2613,663.19,108.41,0.648
2023-07-02 12:00:00,2014.72,12.5,416.3,1.05,22.6,3028,3.5339,1.1813,543.57,491.78,0.088
2023-07-02 13:00:00,2017.19,20.93,414.98,3.22,23.34,3032,6.1288,0.2266,-526.16,94.05,0.888
2023-07-02 14:00:00,1998.76,10.91,411.37,1.96,24.92,3018,3.836,0.419,420.76,172.35,0.475
2023-07-02 15:00:00,2029.29,9.39,410.95,1.56,25.99,3016,1.7235,0.5977,1321,245.63,0.082
2023-07-02 16:00:00,2048.39,8.79,411.48,1.81,24.84,3021,-0.6333,0.5013,2308.99,206.28,0.017
2023-07-02 17:00:00,2018.04,16.26,407.81,2.14,25.41,3031,6.0465,0.4771,-447.76,194.57,0.634
2023-07-02 18:00:00,1992.69,18.83,405.66,1.89,25.33,3018,7.0588,0.7342,-870.77,297.83,0.5
2023-07-02 19:00:00,1955.24,8.16,405.8,1.42,24.63,3037,1.7722,0.5674,1236.09,230.24,0.095
2023-07-02 20:00:00,1958.17,11.79,404.14,1.92,25.34,3041,3.231,0.543,652.4,219.44,0.277
2023-07-02 21:00:00,2067.2,28.83,413.4,3.08,24.42,3036,8.2692,0.453,-1351.28,187.28,0.783
2023-07-02 22:00:00,2064.66,12.99,413.69,1.49,25.17,3036,7.5314,0.4603,-1051.03,190.41,0.743
2023-07-02 23:00:00,2036.46,17.32,416.2,3.21,24.48,3035,-0.7089,0.556,2331.52,231.42,0.017
2023-07-03 00:00:00,2020.28,27.49,420.11,5.7,25.16,3033,4.4549,0.191,148.71,80.26,0.855
2023-07-03 01:00:00,2047.11,19.51,425.85,2.89,24.77,3035,6.437,0.209,-694.08,89.01,0.911
2023-07-03 02:00:00,2086.5,20.31,432.85,3.16,24.29,3020,6.1204,0.2039,-562.73,88.26,0.907
2023-07-03 03:00:00,2089.81,28.72,438.7,5.04,23.63,3030,5.1573,0.251,-172.72,110.13,0.82
2023-07-03 04:00:00,2049.79,34.88,429.56,4.53,24.59,3030,5.8358,0.5225,-457.04,224.46,0.574
2023-07-03 05:00:00,1953.35,28.29,417.32,5.51,23.3,3023,4.6916,0.2158,-4.56,90.06,0.836
2023-07-03 06:00:00,1941.88,7.6,416.92,2.5,24.03,3026,1.2501,0.2883,1420.68,120.21,0.169
2023-07-03 07:00:00,1970.57,10.27,422.81,2.71,22.25,3019,2.9574,0.2455,720.16,103.8,0.611
2023-07-03 08:00:00,1984.59,6.79,428.51,4.97,22.94,3028,0.8063,0.1147,1639.06,49.17,0.348
2023-07-03 09:00:00,1994.28,13.5,429.68,2.72,23.26,3040,1.908,0.4761,1174.43,204.57,0.148
2023-07-03 10:00:00,1991.19,7.82,429.78,2.36,23.63,2976,2.5834,0.2169,880.93,93.22,0.608
2023-07-03 11:00:00,1996.05,13.38,433.34,3.12,23.56,2621,4.1706,0.1113,188.76,48.22,0.946
2023-07-03 12:00:00,1999.89,6.16,433.19,1.22,23.34,3031,4.1403,0.3047,206.36,131.99,0.666
2023-07-03 13:00:00,1986.58,10.9,426.5,3.24,24.56,3016,2.4968,0.2345,921.68,100.02,0.55
2023-07-03 14:00:00,1976.57,6.12,419.12,2.13,25.83,3026,1.7194,0.2397,1255.94,100.47,0.357
2023-07-03 15:00:00,1970.72,6.83,415.26,2.41,24.99,3037,2.2268,0.1832,1046.01,76.09,0.615
2023-07-03 16:00:00,1966.13,5.42,411.67,2.61,24.93,3039,1.0046,0.1892,1552.56,77.9,0.233
2023-07-03 17:00:00,1963.16,6.44,408.44,2.39,24.91,3033,1.9182,0.1973,1179.69,80.59,0.505
2023-07-03 18:00:00,1973.27,7.37,412.66,2.49,24.45,3046,2.4864,0.1666,947.23,68.75,0.706
2023-07-03 19:00:00,1974.76,5.34,413.13,2.06,24.72,3034,1.8369,0.1901,1215.87,78.55,0.502
2023-07-03 20:00:00,1993.78,9.19,412.66,1.86,24.51,3050,3.2175,0.3892,666.03,160.61,0.425
2023-07-03 21:00:00,1971.94,7.03,412.28,2.28,24.28,3045,2.2805,0.216,1031.74,89.04,0.546
2023-07-03 22:00:00,2005.58,36.9,417.75,6.58,24.94,3038,5.514,0.1055,-297.9,44.09,0.967
2023-07-03 23:00:00,1953.37,8.08,410.32,1.12,24,3035,5.3342,0.5017,-235.38,205.86,0.55
2023-07-04 00:00:00,1964.17,13.6,415.17,4.21,25.28,3036,3.0878,0.0982,682.19,40.77,0.914
2023-07-04 01:00:00,1995.45,10.73,425.62,3.12,24.48,3045,1.972,0.2923,1156.14,124.43,0.329
2023-07-04 02:00:00,1953.11,10.53,416.45,2.39,25.51,3033,4.1409,0.1537,228.63,64.03,0.887
2023-07-04 03:00:00,1959.18,5.11,418.58,1.99,24.79,3026,-0.0286,0.2669,1971.14,111.73,0
2023-07-04 04:00:00,1949.04,5.83,417.26,1.8,25.87,3037,1.8558,0.2763,1174.7,115.31,0.328
2023-07-04 05:00:00,1952.78,5.68,421.24,2.95,24.85,3026,1.2714,0.1499,1417.21,63.13,0.437
2023-07-04 06:00:00,1979.43,26.01,425.22,3.83,25.49,3026,4.828,0.4951,-73.55,210.55,0.507
2023-07-04 07:00:00,1990.17,11.36,431.18,3.14,24.94,3021,0.7661,0.3674,1659.83,158.4,0.045
2023-07-04 08:00:00,2013.1,8.73,436.64,2.78,22.91,3022,2.6048,0.1821,875.73,79.53,0.688
2023-07-04 09:00:00,2017.87,12.76,440.82,3.57,24.21,3008,2.3609,0.2782,977.15,122.66,0.438
2023-07-04 10:00:00,2029.18,18.49,437.49,4.7,24.3,2973,3.2206,0.2373,620.23,103.82,0.67
2023-07-04 11:00:00,2023.04,15.66,439.22,4.26,23.37,2721,3.0664,0.2228,676.23,97.88,0.695
2023-07-04 12:00:00,2005.26,12.08,441.86,1.84,24.6,3019,4.9359,0.4503,-175.7,198.96,0.565
2023-07-04 13:00:00,1986.61,9.52,433.89,5.14,25.49,3026,1.0487,0.1587,1531.6,68.87,0.32
2023-07-04 14:00:00,1987.06,7.05,429.04,2.44,25.04,3027,2.3058,0.1804,997.79,77.39,0.638
2023-07-04 15:00:00,1983.58,6.44,426.64,2.39,24.76,3026,1.8385,0.205,1199.22,87.45,0.465
2023-07-04 16:00:00,1974.96,9.35,423.77,3.17,25.82,3035,2.3957,0.1792,959.72,75.93,0.659
2023-07-04 17:00:00,2007.07,20.93,425.09,3.05,24.67,3021,5.8433,0.372,-476.84,158.12,0.727
2023-07-04 18:00:00,2055.01,14.93,429.68,3.07,25.51,3028,4.4241,0.2083,154.05,89.48,0.83
2023-07-04 19:00:00,2065.63,10.87,430.76,3.1,24.87,3036,2.1062,0.2919,1158.38,125.73,0.36
2023-07-04 20:00:00,2079.64,10.08,430.51,2.27,25.21,3019,1.2643,0.4423,1535.35,190.42,0.081
2023-07-04 21:00:00,2053.68,15.12,424.53,3.18,25.19,3039,3.9203,0.2807,389.41,119.16,0.678
2023-07-04 22:00:00,2046.7,10.33,421.26,2.12,24.93,3032,3.7327,0.3247,474.26,136.78,0.588
2023-07-04 23:00:00,2042.36,16.5,421.02,3.01,25.68,3033,5.0376,0.2266,-78.59,95.39,0.842
2023-07-05 00:00:00,2043.61,13.53,421.88,4.76,24.71,3021,2.571,0.1259,958.95,53.13,0.818
2023-07-05 01:00:00,2068.21,8.41,434.59,3,25.86,3017,1.2236,0.2624,1536.45,114.04,0.19
2023-07-05 02:00:00,2056.74,10.54,433.34,2.51,24.97,3029,-3.0019,0.3046,3357.59,132.02,0.512
2023-07-05 03:00:00,2035.32,6.59,434.66,3,25.59,3033,0.4815,0.2229,1826.04,96.88,0.048
2023-07-05 04:00:00,2011.89,10.26,432.01,5.19,25.82,3022,1.4995,0.1341,1364.07,57.93,0.575
2023-07-05 05:00:00,2030.86,12.49,438.28,5.48,25.28,3019,1.8355,0.1406,1226.4,61.64,0.648
2023-07-05 06:00:00,2077.44,33.92,448.82,5.04,26.24,3033,5.0293,0.4643,-179.82,208.38,0.559
2023-07-05 07:00:00,2019.79,16.14,442.72,5.98,25.76,3015,2.5673,0.0867,883.2,38.4,0.904
2023-07-05 08:00:00,2022.05,15.89,440.07,3.27,25.26,3024,-1.0131,0.494,2467.9,217.39,0.043
2023-07-05 09:00:00,2024.56,15.73,446.86,10.5,25.61,3022,1.2065,0.0923,1485.43,41.27,0.648
2023-07-05 10:00:00,2056.48,9.3,468.17,3.79,25.6,2759,1.9811,0.1574,1129,73.71,0.652
2023-07-05 11:00:00,2049.24,8.47,470.44,5.61,26,2821,-0.1593,0.161,2124.17,75.75,0.011
2023-07-05 12:00:00,2102.02,28.75,468.19,8.12,24.37,3007,-1.7358,0.3206,2914.69,150.12,0.241
2023-07-05 13:00:00,2037.63,55.41,442.17,12.15,24.95,3022,4.4534,0.1013,68.48,44.82,0.954
2023-07-05 14:00:00,1975.84,5.93,420.7,4.8,24.95,3027,0.6914,0.1063,1684.96,44.72,0.314
2023-07-05 15:00:00,1973.95,5.24,411.07,1.61,24.59,3027,1.4119,0.3044,1393.56,125.14,0.189
2023-07-05 16:00:00,1973.08,4.94,409.32,1.35,24.45,3041,2.1223,0.3104,1104.4,127.05,0.336
2023-07-05 17:00:00,1975.68,4.73,408.28,1.04,24.49,3031,2.5523,0.389,933.62,158.84,0.317
2023-07-05 18:00:00,1970.03,5.75,403.92,2.32,23.68,3030,1.6368,0.194,1308.9,78.35,0.435
2023-07-05 19:00:00,1958.47,6.18,399.51,1.5,24.46,3043,3.6725,0.1919,491.27,76.66,0.798
2023-07-05 20:00:00,1967.48,5.23,400.06,1.33,23.81,3051,3.0417,0.2576,750.61,103.04,0.601
2023-07-05 21:00:00,1968.36,5.01,398.91,1.09,23.86,3046,3.6111,0.293,527.87,116.86,0.621
2023-07-05 22:00:00,1968.21,4.8,398.78,1.05,23.69,3046,2.9981,0.3612,772.64,144.03,0.427
2023-07-05 23:00:00,2009.1,44.75,407.74,11.88,19.94,3037,3.7193,0.0619,492.56,25.24,0.975
2023-07-06 00:00:00,2090.69,14.81,436.68,2.32,21.41,3045,5.8908,0.2575,-481.71,112.44,0.85
2023-07-06 01:00:00,2073.93,14.74,435.32,2.45,22.21,3032,5.2473,0.3046,-210.32,132.59,0.762
2023-07-06 02:00:00,2089.63,10.63,439.55,1.98,21.21,3026,4.4599,0.3116,129.31,136.96,0.689
2023-07-06 03:00:00,2103.46,21.81,437.28,4.58,21.91,3026,4.1251,0.2478,299.63,108.36,0.75
2023-07-06 04:00:00,2128.03,31.76,436.8,2.38,22.38,3021,2.7122,1.3566,943.36,592.57,0.041
2023-07-06 05:00:00,2122.77,25.35,429.57,4.16,24.46,3009,5.4606,0.2826,-222.91,121.41,0.801
2023-07-06 06:00:00,2113.83,10.54,426.96,1.67,23.74,3034,2.6831,0.5943,968.27,253.75,0.18
2023-07-06 07:00:00,2075.51,18.18,428.32,2.33,24.75,3027,3.7952,0.7074,449.98,302.97,0.237
2023-07-06 08:00:00,2071.14,13.08,428.05,1.65,23.39,3038,7.1207,0.3618,-976.9,154.86,0.807
2023-07-06 09:00:00,2098.39,15.31,430.65,2.65,23.68,3034,5.5835,0.1522,-306.14,65.53,0.936
2023-07-06 10:00:00,2081.2,14.85,431.48,7.03,24.68,2870,1.9431,0.0881,1242.82,38.01,0.847
2023-07-06 11:00:00,2199.11,90.64,436.09,6.68,23.12,2838,7.1133,1.2406,-902.88,541.08,0.275
2023-07-06 12:00:00,2232.25,20.54,465.39,11.95,23.82,3033,-0.7605,0.1602,2586.17,74.58,0.196
2023-07-06 13:00:00,2172.56,45.05,454.6,13.03,24.96,3034,3.114,0.156,756.96,70.96,0.811
2023-07-06 14:00:00,2260.32,11.3,469.41,3.05,23.75,3023,2.1547,0.313,1248.88,146.94,0.339
2023-07-06 15:00:00,2229.02,26.09,450.77,6.5,24.66,3038,3.3669,0.2269,711.32,102.3,0.704
2023-07-06 16:00:00,2159.91,53.08,436.86,6.61,23.89,3029,7.7151,0.2302,-1210.51,100.57,0.924
2023-07-06 17:00:00,2036.13,12.74,419.74,3.12,24.14,3053,3.73,0.1732,470.53,72.71,0.834
2023-07-06 18:00:00,1998.71,12.58,411.28,2.76,25.61,3042,4.2872,0.1621,235.48,66.69,0.883
2023-07-06 19:00:00,1972.14,6.38,406.02,1.46,30.94,3044,3.4371,0.279,576.61,113.27,0.621
2023-07-06 20:00:00,1996.28,6.81,409.57,1.74,21.04,3057,3.006,0.2603,765.13,106.6,0.59
2023-07-06 21:00:00,1991.37,35.39,405.65,2.12,20.82,3031,13.6092,1.0014,-3529.26,406.23,0.666
2023-07-06 22:00:00,1994.1,19.73,408.03,1.63,20.27,3021,5.7125,1.1068,-336.79,451.62,0.223
2023-07-06 23:00:00,1987.15,4.14,407.83,1.24,19.41,3028,2.9949,0.1562,765.72,63.71,0.799
2023-07-07 00:00:00,1992.76,3.7,414.05,2.01,20.64,3034,-0.2554,0.1893,2098.5,78.39,0.019
2023-07-07 01:00:00,2010.66,8.33,420.87,2.19,21.38,3028,2.702,0.2781,873.47,117.04,0.504
2023-07-07 02:00:00,1990.76,5.15,416.86,1.77,22.56,3023,2.4487,0.1619,970,67.49,0.712
2023-07-07 03:00:00,1999.55,10.68,423.86,4.36,22.95,3033,2.1242,0.1267,1099.2,53.73,0.752
2023-07-07 04:00:00,2034.07,6.98,434.73,2.88,22.72,3037,-0.1371,0.252,2093.66,109.54,0.003
2023-07-07 05:00:00,2032.28,2.91,433.42,2.77,22.91,3032,-0.0999,0.1087,2075.59,47.11,0.009
2023-07-07 06:00:00,2028.63,1.55,434.42,3.63,23.18,3040,0.1769,0.0404,1951.77,17.54,0.172
2023-07-07 07:00:00,2030.41,5.15,432.7,3.59,23.2,3035,-0.3925,0.1436,2200.26,62.12,0.075
2023-07-07 08:00:00,2060.35,13.4,434.32,3.79,23.71,3029,-0.4531,0.3649,2257.15,158.5,0.016
2023-07-07 09:00:00,2066.45,15.68,436.15,3.67,24.25,3036,-2.6888,0.3447,3239.19,150.34,0.397
2023-07-07 10:00:00,2046.49,4.6,438.48,9.56,24.82,2749,0.2504,0.0447,1936.7,19.62,0.271
2023-07-07 11:00:00,2027.89,6.43,427.73,5.28,25.79,2916,0.3945,0.122,1859.15,52.18,0.105
2023-07-07 12:00:00,2035.23,7,430.15,3.23,28.01,3034,1.5722,0.1552,1358.94,66.75,0.526
2023-07-07 13:00:00,2025.05,4.95,420.64,2.61,29.7,3035,1.3906,0.1341,1440.09,56.42,0.537
2023-07-07 14:00:00,2013.88,3.61,418.41,1.12,29.91,3036,0.1413,0.336,1954.74,140.58,0.002
2023-07-07 15:00:00,2007.34,5.17,417.48,1.35,25.53,3033,1.7823,0.3514,1263.26,146.68,0.218
2023-07-07 16:00:00,1992.6,3.82,414.15,1.54,25.38,3027,1.1832,0.2267,1502.58,93.9,0.227
2023-07-07 17:00:00,1983.84,3.28,411.46,1.48,24.21,3033,1.4265,0.1759,1396.91,72.37,0.415
2023-07-07 18:00:00,1983.28,2.35,409.34,1.03,22.84,3036,0.495,0.2325,1780.66,95.17,0.047
2023-07-07 19:00:00,1984.48,3.2,409.63,1.09,22.75,3039,1.0636,0.2859,1548.8,117.11,0.13
2023-07-07 20:00:00,1976.73,6.95,409.07,1.02,24.97,3023,4.3662,0.542,190.66,221.7,0.412
2023-07-07 21:00:00,1964.15,2.29,408.14,0.94,25.1,3042,0.7355,0.2402,1663.97,98.04,0.092
2023-07-07 22:00:00,1963.59,1.71,408.76,0.97,24.95,3052,0.9869,0.1509,1560.19,61.69,0.316
2023-07-07 23:00:00,1960.31,2.07,409.46,0.95,24.44,3023,0.9333,0.2061,1578.16,84.4,0.181
2023-07-08 00:00:00,1981.6,12.38,416.09,3.47,24.34,3027,2.8082,0.2287,813.12,95.17,0.62
2023-07-08 01:00:00,2003.55,5.3,423.02,2.95,24.56,3032,0.2741,0.1841,1887.61,77.88,0.023
2023-07-08 02:00:00,2005.54,4.99,424.36,3.41,24.27,3027,0.4232,0.1456,1825.95,61.79,0.084
2023-07-08 03:00:00,2019.15,11.59,430.77,4.08,24.48,3023,1.1031,0.2723,1543.96,117.3,0.151
2023-07-08 04:00:00,2034.96,5.8,436.98,3.64,24.36,3029,0.4855,0.1576,1822.79,68.87,0.093
2023-07-08 05:00:00,2034.86,3.01,431.45,4.02,24.49,3039,-0.1379,0.0765,2094.37,33,0.034
2023-07-08 06:00:00,2052.32,25.02,432.44,2.29,24.31,3032,3.6376,1.0689,479.28,462.24,0.111
2023-07-08 07:00:00,2101.27,9.85,434.87,1.79,24.4,3033,3.9067,0.4026,402.37,175.06,0.504
2023-07-08 08:00:00,2083.66,13.77,432.72,4.14,25.24,3039,2.0944,0.269,1177.35,116.41,0.396
2023-07-08 09:00:00,2126.45,19.41,443.52,8.85,24.91,3020,2.1184,0.0593,1186.9,26.29,0.932
2023-07-08 10:00:00,2125.66,12.4,439.51,3.09,25.01,2691,-2.256,0.3668,3117.21,161.22,0.315
2023-07-08 11:00:00,2072.17,22.34,439.71,2.52,27.07,2981,-0.5364,0.9279,2308.04,408.01,0.004
2023-07-08 12:00:00,2055.23,4.81,435.76,2.21,29.1,3039,0.1142,0.2259,2005.45,98.43,0.003
2023-07-08 13:00:00,2055.34,3.11,444.29,2.91,30.24,3040,0.0897,0.1108,2015.49,49.24,0.007
2023-07-08 14:00:00,2036.83,11,441.25,5.13,31.01,3045,2.0195,0.0742,1145.73,32.76,0.889
2023-07-08 15:00:00,2022.06,5.08,430.53,3.4,27.03,3029,1.3546,0.0654,1438.86,28.17,0.822
2023-07-08 16:00:00,2015.7,3.74,425.81,2.65,26.38,3038,1.2781,0.0623,1471.5,26.52,0.82
2023-07-08 17:00:00,2002.13,5.37,414.92,3.87,26.04,3030,1.3325,0.0404,1449.27,16.75,0.922
2023-07-08 18:00:00,1999.03,1.87,410.11,1.22,25.23,3034,0.5885,0.1475,1757.67,60.51,0.147
2023-07-08 19:00:00,2012.87,16.68,413.09,4.32,24.89,3046,3.351,0.2001,628.59,82.67,0.752
2023-07-08 20:00:00,1995.42,7.26,409.51,2.43,27.13,3033,2.2789,0.2009,1062.2,82.27,0.582
2023-07-08 21:00:00,2001.19,2.45,411.9,0.99,26.15,3036,-0.3449,0.2538,2143.25,104.55,0.02
2023-07-08 22:00:00,2006.05,7.9,414.2,0.91,26.12,3040,2.2849,0.8705,1059.66,360.55,0.069
2023-07-08 23:00:00,2009.81,5.02,415.89,1.31,25.9,3041,0.591,0.3947,1764.02,164.17,0.024
2023-07-09 00:00:00,2013.03,10.89,417.78,1.85,25.12,3031,4.3963,0.4052,176.36,169.27,0.56
2023-07-09 01:00:00,2008.61,8,420.26,1.73,23.74,3033,1.9792,0.4339,1176.84,182.36,0.183
2023-07-09 02:00:00,2003.73,1.84,422.56,2.16,24.11,3032,0.3857,0.0791,1840.74,33.41,0.204
2023-07-09 03:00:00,2002.29,3.15,418.72,1.63,24.63,3045,0.4986,0.1942,1793.52,81.34,0.066
2023-07-09 04:00:00,2002.88,9.44,421.64,3.47,24.64,3042,2.231,0.1615,1062.21,68.11,0.673
2023-07-09 05:00:00,2030.68,15.04,428.83,3.37,24.27,3041,-1.5681,0.4347,2703.14,186.42,0.123
2023-07-09 06:00:00,2042.45,9.71,431.25,1.19,24.46,3029,0.3073,0.8483,1909.95,365.81,0.001
2023-07-09 07:00:00,2052.69,5.14,427.67,2.09,24.93,3030,1.6747,0.1874,1336.48,80.13,0.463
2023-07-09 08:00:00,2072.26,25.98,429.1,1.85,24.93,3031,-0.3455,1.4611,2220.53,626.98,0.001
2023-07-09 09:00:00,2115.6,15.93,433.07,3.7,25.46,3033,-1.2801,0.4275,2669.96,185.14,0.088
2023-07-09 10:00:00,2075.05,15.19,439.59,5.18,25.83,2655,-1.3032,0.2919,2647.94,128.31,0.198
2023-07-09 11:00:00,2039.98,5.79,445.66,4.13,27.01,3045,0.2838,0.1427,1913.5,63.6,0.041
2023-07-09 12:00:00,2028.55,6.05,437.1,5.57,29,3040,0.8449,0.0707,1659.23,30.92,0.607
2023-07-09 13:00:00,2020,5.68,420.39,3.93,30.61,3045,-0.6992,0.1316,2313.95,55.31,0.234
2023-07-09 14:00:00,2014.91,15.12,412.44,2.68,31.19,3040,4.9721,0.2758,-35.81,113.74,0.778
2023-07-09 15:00:00,1979.95,9.79,404.84,2.86,30.15,3051,2.6578,0.2237,903.97,90.57,0.604
2023-07-09 16:00:00,1973.41,2.33,406.91,1.21,22.84,3042,1.3165,0.1451,1437.71,59.02,0.471
2023-07-09 17:00:00,1965.03,8.03,406.65,1.14,26.93,3046,1.4887,0.7161,1359.66,291.2,0.045
2023-07-09 18:00:00,1939.88,17.6,407.86,1.32,27.66,3038,0.7386,1.3792,1638.65,562.53,0.003
2023-07-09 19:00:00,1901.88,7.57,403.87,1.41,27.48,3037,4.4165,0.319,118.17,128.83,0.674
2023-07-09 20:00:00,1892.41,3.55,406.91,2.05,24.36,3028,1.4597,0.0968,1298.45,39.39,0.711
2023-07-09 21:00:00,1903.78,10.26,411.36,2.22,23.15,3022,4.1936,0.2019,178.7,83.07,0.823
2023-07-09 22:00:00,1911.16,5.14,410.96,3.54,23.76,3036,0.1089,0.1504,1866.42,61.8,0.006
2023-07-09 23:00:00,1918.24,7.51,408.83,3.32,23.59,3013,1.8369,0.1372,1167.27,56.07,0.66
2023-07-10 00:00:00,1953.14,7.43,416.8,2.56,21.24,3030,1.3113,0.2687,1406.58,112.02,0.205
2023-07-10 01:00:00,1958.23,10.82,418.77,1.54,22.1,3017,2.7663,0.6716,799.79,281.26,0.155
2023-07-10 02:00:00,1928.19,9.67,416.64,2.85,22.46,3045,2.2409,0.2642,994.54,110.07,0.437
2023-07-10 03:00:00,1918.72,2.25,413.87,4.1,22.34,3034,0.1218,0.0558,1868.3,23.08,0.049
2023-07-10 04:00:00,1919.27,1.9,413.36,2.18,22.79,3041,0.5254,0.0724,1702.09,29.93,0.363
2023-07-10 05:00:00,1916.95,3.42,414.34,1.54,23.98,3036,0.8443,0.2131,1567.12,88.3,0.145
2023-07-10 06:00:00,1912.17,1.78,414.5,1.29,24.76,3033,0.8059,0.1155,1578.13,47.86,0.345
2023-07-10 07:00:00,1910.06,1.97,416.1,1.71,25.03,3035,0.0251,0.1198,1899.62,49.84,0
2023-07-10 08:00:00,1934.63,15.53,419.92,3.06,25.03,3039,1.0145,0.5171,1508.62,217.15,0.04
2023-07-10 09:00:00,1957.99,11.81,420.29,3.89,24.32,3036,2.6616,0.1508,839.35,63.39,0.771
